,fold_assignment,fold_column,offset_column,weights_column,class_sampling_factors,max_after_balance_size,ntrees,min_rows,nbins,nbins_top_level,nbins_cats,stopping_rounds,stopping_metric,stopping_tolerance,max_runtime_secs,seed,learn_rate,learn_rate_annealing,distribution,sample_rate,sample_rate_per_class,col_sample_rate,col_sample_rate_change_per_level,col_sample_rate_per_tree,min_split_improvement,histogram_type,max_abs_leafnode_pred,pred_noise_bandwidth,runtime,name
actual,Modulo,,,,,5,30,100,20,1024,1024,0,logloss,0.041415768328129,0,4471720902305762098,0.1,1,bernoulli,0.8,,0.8,1,0.8,1e-05,AUTO,1.7976931348623151e+308,0,300,GBM_1_AutoML_20190420_203958
actual,Modulo,,,,,5,32,100,20,1024,1024,3,logloss,0.041415768328129,293.974,-5587718835561120258,0.1,1,bernoulli,0.8,,0.8,1,0.8,1e-05,AUTO,1.7976931348623151e+308,0,300,GBM_1_AutoML_20190420_204019
actual,Modulo,,,,,5,30,100,20,1024,1024,0,logloss,0.041415768328129,0,3984401769034640665,0.1,1,bernoulli,0.8,,0.8,1,0.8,1e-05,AUTO,1.7976931348623151e+308,0,300,GBM_1_AutoML_20190420_204025
actual,Modulo,,,,,5,30,100,20,1024,1024,0,logloss,0.041415768328129,0,4471720902305762098,0.1,1,bernoulli,0.8,,0.8,1,0.8,1e-05,AUTO,1.7976931348623151e+308,0,300,GBM_2_AutoML_20190420_203958
actual,Modulo,,,,,5,30,100,20,1024,1024,0,logloss,0.041415768328129,0,3984401769034640665,0.1,1,bernoulli,0.8,,0.8,1,0.8,1e-05,AUTO,1.7976931348623151e+308,0,300,GBM_2_AutoML_20190420_204025
actual,Modulo,,,,,5,30,100,20,1024,1024,0,logloss,0.041415768328129,0,4471720902305762098,0.1,1,bernoulli,0.8,,0.8,1,0.8,1e-05,AUTO,1.7976931348623151e+308,0,300,GBM_3_AutoML_20190420_203958
actual,Modulo,,,,,5,30,100,20,1024,1024,0,logloss,0.041415768328129,0,3984401769034640665,0.1,1,bernoulli,0.8,,0.8,1,0.8,1e-05,AUTO,1.7976931348623151e+308,0,300,GBM_3_AutoML_20190420_204025
actual,Modulo,,,,,5,30,100,20,1024,1024,0,logloss,0.041415768328129,0,4471720902305762098,0.1,1,bernoulli,0.8,,0.8,1,0.8,1e-05,AUTO,1.7976931348623151e+308,0,300,GBM_4_AutoML_20190420_203958
actual,Modulo,,,,,5,30,100,20,1024,1024,0,logloss,0.041415768328129,0,3984401769034640665,0.1,1,bernoulli,0.8,,0.8,1,0.8,1e-05,AUTO,1.7976931348623151e+308,0,300,GBM_4_AutoML_20190420_204025
actual,Modulo,,,,,5,30,100,20,1024,1024,0,logloss,0.041415768328129,0,4471720902305762098,0.1,1,bernoulli,0.8,,0.8,1,0.8,1e-05,AUTO,1.7976931348623151e+308,0,300,GBM_5_AutoML_20190420_203958
actual,Modulo,,,,,5,30,100,20,1024,1024,0,logloss,0.041415768328129,0,3984401769034640665,0.1,1,bernoulli,0.8,,0.8,1,0.8,1e-05,AUTO,1.7976931348623151e+308,0,300,GBM_5_AutoML_20190420_204025
actual,Modulo,,,,,5,30,30,20,1024,1024,0,logloss,0.041415768328129,0,-5159890268782948957,0.001,1,bernoulli,0.7000000000000001,,0.7000000000000001,1,0.7000000000000001,1e-05,AUTO,1.7976931348623151e+308,0,300,GBM_grid_1_AutoML_20190420_203958_model_10
actual,Modulo,,,,,5,30,10,20,1024,1024,0,logloss,0.041415768328129,0,6140024994426514412,0.008,1,bernoulli,0.7000000000000001,,0.4,1,1.0,0.0001,AUTO,1.7976931348623151e+308,0,300,GBM_grid_1_AutoML_20190420_203958_model_11
actual,Modulo,,,,,5,30,1,20,1024,1024,0,logloss,0.041415768328129,0,-867308748398514056,0.005,1,bernoulli,0.8,,1.0,1,0.7000000000000001,0.0001,AUTO,1.7976931348623151e+308,0,300,GBM_grid_1_AutoML_20190420_203958_model_12
actual,Modulo,,,,,5,30,5,20,1024,1024,0,logloss,0.041415768328129,0,4718116271635629966,0.01,1,bernoulli,0.5,,0.4,1,0.4,1e-05,AUTO,1.7976931348623151e+308,0,300,GBM_grid_1_AutoML_20190420_203958_model_13
actual,Modulo,,,,,5,35,30,20,1024,1024,0,logloss,0.041415768328129,0,2662963836114373151,0.1,1,bernoulli,0.9,,1.0,1,0.4,1e-05,AUTO,1.7976931348623151e+308,0,300,GBM_grid_1_AutoML_20190420_203958_model_14
actual,Modulo,,,,,5,30,100,20,1024,1024,0,logloss,0.041415768328129,0,8244667142942661395,0.8,1,bernoulli,0.6000000000000001,,0.4,1,1.0,0.0001,AUTO,1.7976931348623151e+308,0,300,GBM_grid_1_AutoML_20190420_203958_model_15
actual,Modulo,,,,,5,34,100,20,1024,1024,0,logloss,0.041415768328129,0,271384550698887570,0.1,1,bernoulli,0.6000000000000001,,0.4,1,1.0,1e-05,AUTO,1.7976931348623151e+308,0,300,GBM_grid_1_AutoML_20190420_203958_model_1
actual,Modulo,,,,,5,30,15,20,1024,1024,0,logloss,0.041415768328129,0,8256658381518002007,0.5,1,bernoulli,0.7000000000000001,,0.7000000000000001,1,1.0,0.0001,AUTO,1.7976931348623151e+308,0,300,GBM_grid_1_AutoML_20190420_203958_model_2
actual,Modulo,,,,,5,43,5,20,1024,1024,0,logloss,0.041415768328129,0,112601856004119357,0.05,1,bernoulli,0.6000000000000001,,0.4,1,0.4,0.0001,AUTO,1.7976931348623151e+308,0,300,GBM_grid_1_AutoML_20190420_203958_model_3
actual,Modulo,,,,,5,39,1,20,1024,1024,0,logloss,0.041415768328129,0,1698654562288080355,0.05,1,bernoulli,0.9,,0.7000000000000001,1,0.4,0.0001,AUTO,1.7976931348623151e+308,0,300,GBM_grid_1_AutoML_20190420_203958_model_4
actual,Modulo,,,,,5,30,100,20,1024,1024,0,logloss,0.041415768328129,0,-6389254293215495967,0.5,1,bernoulli,0.5,,0.7000000000000001,1,1.0,0.0001,AUTO,1.7976931348623151e+308,0,300,GBM_grid_1_AutoML_20190420_203958_model_5
actual,Modulo,,,,,5,32,10,20,1024,1024,0,logloss,0.041415768328129,0,8243834372218411671,0.01,1,bernoulli,1.0,,1.0,1,1.0,1e-05,AUTO,1.7976931348623151e+308,0,300,GBM_grid_1_AutoML_20190420_203958_model_6
actual,Modulo,,,,,5,30,10,20,1024,1024,0,logloss,0.041415768328129,0,-6138456759049493202,0.001,1,bernoulli,0.7000000000000001,,1.0,1,0.7000000000000001,1e-05,AUTO,1.7976931348623151e+308,0,300,GBM_grid_1_AutoML_20190420_203958_model_7
actual,Modulo,,,,,5,30,10,20,1024,1024,0,logloss,0.041415768328129,0,3910850181988873422,0.01,1,bernoulli,0.5,,0.7000000000000001,1,1.0,0.0001,AUTO,1.7976931348623151e+308,0,300,GBM_grid_1_AutoML_20190420_203958_model_8
actual,Modulo,,,,,5,30,100,20,1024,1024,0,logloss,0.041415768328129,0,-9136097338543200293,0.001,1,bernoulli,1.0,,0.4,1,0.7000000000000001,0.0001,AUTO,1.7976931348623151e+308,0,300,GBM_grid_1_AutoML_20190420_203958_model_9
actual,Modulo,,,,,5,35,10,20,1024,1024,0,logloss,0.041415768328129,0,-6679064412186527949,0.05,1,bernoulli,0.8,,0.7000000000000001,1,1.0,0.0001,AUTO,1.7976931348623151e+308,0,300,GBM_grid_1_AutoML_20190420_204025_model_10
actual,Modulo,,,,,5,35,30,20,1024,1024,0,logloss,0.041415768328129,0,-6483391395769082416,0.1,1,bernoulli,0.9,,0.4,1,0.7000000000000001,1e-05,AUTO,1.7976931348623151e+308,0,300,GBM_grid_1_AutoML_20190420_204025_model_1
actual,Modulo,,,,,5,30,5,20,1024,1024,0,logloss,0.041415768328129,0,4318097702063951585,0.8,1,bernoulli,0.5,,0.7000000000000001,1,0.4,0.0001,AUTO,1.7976931348623151e+308,0,300,GBM_grid_1_AutoML_20190420_204025_model_2
actual,Modulo,,,,,5,30,100,20,1024,1024,0,logloss,0.041415768328129,0,-6390321444870334032,0.5,1,bernoulli,0.8,,0.4,1,0.7000000000000001,0.0001,AUTO,1.7976931348623151e+308,0,300,GBM_grid_1_AutoML_20190420_204025_model_3
actual,Modulo,,,,,5,34,1,20,1024,1024,0,logloss,0.041415768328129,0,-7627730819777343925,0.1,1,bernoulli,0.6000000000000001,,0.7000000000000001,1,0.4,0.0001,AUTO,1.7976931348623151e+308,0,300,GBM_grid_1_AutoML_20190420_204025_model_4
actual,Modulo,,,,,5,30,5,20,1024,1024,0,logloss,0.041415768328129,0,-5882510351731715024,0.8,1,bernoulli,0.8,,0.7000000000000001,1,0.4,1e-05,AUTO,1.7976931348623151e+308,0,300,GBM_grid_1_AutoML_20190420_204025_model_5
actual,Modulo,,,,,5,36,30,20,1024,1024,0,logloss,0.041415768328129,0,3618168101259336583,0.05,1,bernoulli,0.6000000000000001,,1.0,1,1.0,1e-05,AUTO,1.7976931348623151e+308,0,300,GBM_grid_1_AutoML_20190420_204025_model_6
actual,Modulo,,,,,5,30,5,20,1024,1024,0,logloss,0.041415768328129,0,-430781495194366483,0.005,1,bernoulli,0.6000000000000001,,0.4,1,1.0,1e-05,AUTO,1.7976931348623151e+308,0,300,GBM_grid_1_AutoML_20190420_204025_model_7
actual,Modulo,,,,,5,30,10,20,1024,1024,0,logloss,0.041415768328129,0,2331243056867660293,0.005,1,bernoulli,0.5,,0.4,1,1.0,1e-05,AUTO,1.7976931348623151e+308,0,300,GBM_grid_1_AutoML_20190420_204025_model_8
actual,Modulo,,,,,5,36,5,20,1024,1024,0,logloss,0.041415768328129,0,1521952026363142430,0.08,1,bernoulli,0.7000000000000001,,0.7000000000000001,1,0.7000000000000001,1e-05,AUTO,1.7976931348623151e+308,0,300,GBM_grid_1_AutoML_20190420_204025_model_9
