Dataset_ID,Algo_id,runtime,model_name,auc,logloss,mean_per_class_error,rmse,mse
D1,A2,500,GBM_grid_1_AutoML_20190419_152459_model_24,0.766287137,0.501725757,0.288814199,0.411686017,0.169485377
D1,A6,500,StackedEnsemble_BestOfFamily_AutoML_20190419_152459,0.762746142,0.503724053,0.277341951,0.414009112,0.171403544
D1,A6,500,StackedEnsemble_AllModels_AutoML_20190419_152459,0.759968045,0.507950035,0.2822576,0.414141995,0.171513592
D1,A2,500,GBM_grid_1_AutoML_20190419_152459_model_11,0.751957623,0.512112529,0.304503973,0.415891751,0.172965949
D1,A1,500,GLM_grid_1_AutoML_20190419_152459_model_1,0.751698526,0.503102556,0.295500345,0.413658462,0.171113323
D1,A2,500,GBM_grid_1_AutoML_20190419_152459_model_22,0.750287886,0.509332359,0.300768655,0.415732453,0.172833472
D1,A2,500,GBM_grid_1_AutoML_20190419_152459_model_26,0.749330666,0.562722951,0.303849033,0.435714834,0.189847417
D1,A2,500,GBM_grid_1_AutoML_20190419_152459_model_27,0.746674919,0.563474601,0.286388761,0.436112183,0.190193836
D1,A2,500,GBM_grid_1_AutoML_20190419_152459_model_17,0.746653328,1.088664092,0.327405286,0.479276951,0.229706396
D1,A2,500,GBM_5_AutoML_20190419_152459,0.745566559,0.514925965,0.290016122,0.417286461,0.17412799
D1,A2,500,GBM_grid_1_AutoML_20190419_152459_model_33,0.744105539,0.570472028,0.291131679,0.439222375,0.192916295
D1,A2,500,GBM_grid_1_AutoML_20190419_152459_model_35,0.74306915,0.518456494,0.303237275,0.418148053,0.174847794
D1,A2,500,GBM_grid_1_AutoML_20190419_152459_model_3,0.740881218,0.521416814,0.294147282,0.419347519,0.175852342
D1,A2,500,GBM_grid_1_AutoML_20190419_152459_model_5,0.74075167,0.517918707,0.304986181,0.419397633,0.175894374
D1,A2,500,GBM_1_AutoML_20190419_152459,0.738441386,0.538427727,0.294060917,0.428085172,0.183256914
D1,A2,500,GBM_grid_1_AutoML_20190419_152459_model_15,0.738196684,0.582186595,0.293492342,0.444531563,0.19760831
D1,A2,500,GBM_grid_1_AutoML_20190419_152459_model_9,0.737534546,0.66536558,0.311629146,0.458353293,0.210087742
D1,A2,500,GBM_3_AutoML_20190419_152459,0.733324217,0.536446319,0.305576347,0.428284551,0.183427657
D1,A2,500,GBM_grid_1_AutoML_20190419_152459_model_14,0.732877994,0.582493718,0.295982554,0.444657255,0.197720075
D1,A2,500,GBM_grid_1_AutoML_20190419_152459_model_34,0.732115097,0.580999994,0.293665074,0.443956076,0.197096997
D1,A3,500,DRF_1_AutoML_20190419_152459,0.731661677,0.635384489,0.305597939,0.427608584,0.182849101
D1,A2,500,GBM_grid_1_AutoML_20190419_152459_model_10,0.730179065,0.583812852,0.289908164,0.445257926,0.198254621
D1,A2,500,GBM_grid_1_AutoML_20190419_152459_model_30,0.729740039,0.954274234,0.322316905,0.484412994,0.234655949
D1,A2,500,GBM_2_AutoML_20190419_152459,0.727537713,0.541079057,0.296615903,0.431167284,0.185905227
D1,A2,500,GBM_grid_1_AutoML_20190419_152459_model_25,0.726983533,0.567741695,0.322489636,0.43779566,0.19166504
D1,A2,500,GBM_4_AutoML_20190419_152459,0.726357381,0.544168814,0.333918701,0.430219752,0.185089035
D1,A2,500,GBM_grid_1_AutoML_20190419_152459_model_12,0.725371373,0.579538762,0.316328881,0.443291031,0.196506938
D1,A2,500,GBM_grid_1_AutoML_20190419_152459_model_21,0.722917146,0.583633379,0.312154537,0.444035341,0.197167384
D1,A7,500,XRT_1_AutoML_20190419_152459,0.722197432,0.644105089,0.325354099,0.428139077,0.183303069
D1,A2,500,GBM_grid_1_AutoML_20190419_152459_model_31,0.721844772,1.225654878,0.335012667,0.490881366,0.240964516
D1,A2,500,GBM_grid_1_AutoML_20190419_152459_model_23,0.719138646,0.752299653,0.344865557,0.470992503,0.221833937
D1,A2,500,GBM_grid_1_AutoML_20190419_152459_model_13,0.714662022,0.566785207,0.312723111,0.437650011,0.191537532
D1,A2,500,GBM_grid_1_AutoML_20190419_152459_model_8,0.712013473,0.580788031,0.320719139,0.446212217,0.199105343
D1,A2,500,GBM_grid_1_AutoML_20190419_152459_model_7,0.711675207,0.581217296,0.32043845,0.444095074,0.197220435
D1,A2,500,GBM_grid_1_AutoML_20190419_152459_model_18,0.711495279,0.579166397,0.309858648,0.443188235,0.196415812
D1,A2,500,GBM_grid_1_AutoML_20190419_152459_model_16,0.707371315,0.614369876,0.327383694,0.455002431,0.207027213
D1,A2,500,GBM_grid_1_AutoML_20190419_152459_model_2,0.699116191,1.054086338,0.353041513,0.492276077,0.242335736
D1,A2,500,GBM_grid_1_AutoML_20190419_152459_model_19,0.69795745,0.978726453,0.336300956,0.503824521,0.253839148
D1,A2,500,GBM_grid_1_AutoML_20190419_152459_model_28,0.682325253,0.581883723,0.337502879,0.444456755,0.197541807
D1,A2,500,GBM_grid_1_AutoML_20190419_152459_model_32,0.658697029,0.924290055,0.369890028,0.502551708,0.252558219
D1,A2,500,GBM_grid_1_AutoML_20190419_152459_model_20,0.650312356,0.595241754,0.380203535,0.450431131,0.202888203
D1,A2,500,GBM_grid_1_AutoML_20190419_152459_model_4,0.629692538,0.595544606,0.380685744,0.45056843,0.20301191
D1,A2,500,GBM_grid_1_AutoML_20190419_152459_model_6,0.615895613,0.596028241,0.38374453,0.450786217,0.203208213
D1,A2,500,GBM_grid_1_AutoML_20190419_152459_model_1,0.603818805,0.59672051,0.392769749,0.45109992,0.203491138
D1,A2,500,GBM_grid_1_AutoML_20190419_152459_model_29,0.595376555,8.452096558,0.403853351,0.603563693,0.364289131
D1,A2,300,GBM_grid_1_AutoML_20190420_204025_model_4,0.770396707,0.533106465,0.30315091,0.418952066,0.175520833
D1,A2,300,GBM_1_AutoML_20190420_204025,0.756750921,0.517750668,0.311607554,0.417822813,0.174575903
D1,A2,300,GBM_grid_1_AutoML_20190420_203958_model_3,0.756160755,0.508590942,0.29904134,0.413808598,0.171237556
D1,A6,300,StackedEnsemble_BestOfFamily_AutoML_20190420_203958,0.755793701,0.507746729,0.288288807,0.415966351,0.173028005
D1,A6,300,StackedEnsemble_AllModels_AutoML_20190420_203958,0.754922847,0.509355563,0.291218045,0.41663425,0.173584098
D1,A1,300,GLM_grid_1_AutoML_20190420_203958_model_1,0.751698526,0.503102556,0.295500345,0.413658462,0.171113323
D1,A1,300,GLM_grid_1_AutoML_20190420_204025_model_1,0.751698526,0.503102556,0.295500345,0.413658462,0.171113323
D1,A1,300,GLM_grid_1_AutoML_20190420_204019_model_1,0.751698526,0.503102556,0.295500345,0.413658462,0.171113323
D1,A2,300,GBM_grid_1_AutoML_20190420_203958_model_14,0.747322662,0.51239747,0.300243263,0.417658827,0.174438895
D1,A2,300,GBM_4_AutoML_20190420_203958,0.746487794,0.524469192,0.314032992,0.423442341,0.179303417
D1,A2,300,GBM_grid_1_AutoML_20190420_203958_model_4,0.746379836,0.519715086,0.29541398,0.418382467,0.175043889
D1,A2,300,GBM_5_AutoML_20190420_203958,0.746315062,0.514318801,0.292398376,0.416938396,0.173837626
D1,A2,300,GBM_3_AutoML_20190420_203958,0.745559362,0.526369538,0.291786619,0.424194701,0.179941145
D1,A6,300,XRT_1_AutoML_20190420_204025,0.745537771,0.852431434,0.302625518,0.424584241,0.180271778
D1,A2,300,GBM_5_AutoML_20190420_204025,0.745365039,0.515643592,0.301186089,0.417314808,0.174151649
D1,A2,300,GBM_grid_1_AutoML_20190420_204025_model_7,0.74458055,0.578077534,0.285100472,0.442634348,0.195925166
D1,A2,300,GBM_grid_1_AutoML_20190420_203958_model_1,0.744141525,0.516116152,0.291218045,0.417226028,0.174077558
D1,A2,300,GBM_grid_1_AutoML_20190420_204025_model_1,0.742594139,0.513320306,0.299609915,0.417956196,0.174687382
D1,A2,300,GBM_1_AutoML_20190420_204019,0.742371027,0.540458962,0.295982554,0.428867081,0.183926973
D1,A2,300,GBM_2_AutoML_20190420_203958,0.740715684,0.528596591,0.310844657,0.425756797,0.181268851
D1,A2,300,GBM_2_AutoML_20190420_204025,0.738758061,0.528715181,0.293492342,0.425129813,0.180735358
D1,A2,300,GBM_1_AutoML_20190420_203958,0.738678892,0.537351293,0.289951347,0.426210493,0.181655384
